RECIPE NAME,RECIPE CODE,CATEGORY,RESTAURANT,FINAL PRICE,MERIDES,HIDE FROM APP,RECIPE INGREDIENTS,RECIPE COST,RECIPE COST composite,RECIPE COST / MERIDES,VAT,VAT 13%,VAT 13% composite,TOTAL,TOTAL/MERIDA,TOTAL / MERIDA composite,x3,x4,INGREDIENTS,OIK104 MENU INGREDIENTS,OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy,OIK512 MENU_,COMMON OR REMOVE (from OIK512 MENU_),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS copy
BIANCO,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€0,0",1,,"BIANCO,BIANCO,BIANCO,BIANCO,BIANCO,BIANCO,BIANCO,BIANCO","1,07","1,07","1,07",13,"0,14","0,14","1,21","1,21","1,21","3,62","4,82",,,,,BIANCO,,"BIANCO, BIANCO, BIANCO, BIANCO, BIANCO, BIANCO, BIANCO",
DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ","0,53","0,53","0,53",13,"0,07","0,07","0,60","0,60","0,60","1,79","2,39",DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,,,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,"DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ, DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ",
DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,ΕΝΔΙΑΜΕΣΑ,OIK104,,1,,"DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ","0,93","0,93","0,93",13,"0,12","0,12","1,05","1,05","1,05","3,14","4,19",DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,,,DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ,,"DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ, DRESSING ΣΑΛΑΤΑ ΤΣΑΛΑΦΟΥΤΙ",
MEDALLION,,ΤΥΡΙΑ,OIK104,,1,,MEDALLION,"0,88","0,88","0,88",13,"0,11","0,11","0,99","0,99","0,99","2,97","3,96",,,,,MEDALLION,,MEDALLION,
REZZANO,,ΤΥΡΙΑ,OIK104,,1,,REZZANO,"1,01","1,01","1,01",13,"0,13","0,13","1,14","1,14","1,14","3,42","4,56",,,,,REZZANO,,REZZANO,
TΣΑΛΑΦΟΥΤΙ,,ΤΥΡΙΑ,OIK104,,1,,TΣΑΛΑΦΟΥΤΙ,"0,28","0,28","0,28",13,"0,04","0,04","0,31","0,31","0,31","0,93","1,24",,,,,TΣΑΛΑΦΟΥΤΙ,,TΣΑΛΑΦΟΥΤΙ,
VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,ΕΠΙΔΟΡΠΙΑ,OIK104,"€7,0",16,,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR)","8,82","8,82","0,55",13,"1,15","1,15","9,97","0,62","0,62","1,87","2,49",ΧΟΙΡΙΝΗ ΛΑΙΜΟΥ,,,,VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR),,"VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR), VEGAN CHEESECAKE 16ΜΕΡΙΔΕΣ (1600GR)",
ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,,1,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ","20,90","20,90","20,90",13,"2,72","2,72","23,62","23,62","23,62","70,87","94,49",,,,,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,,"ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ",
ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,,1,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ","18,97","18,97","18,97",13,"2,47","2,47","21,44","21,44","21,44","64,32","85,76",,,,,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,,"ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ",
ΑΡΝΙ ΚΟΤΣΙ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€16,0",1,,"ΑΡΝΙ ΚΟΤΣΙ,ΑΡΝΙ ΚΟΤΣΙ","2,58","2,58","2,58",13,"0,34","0,34","2,92","2,92","2,92","8,75","11,67",,,,,ΑΡΝΙ ΚΟΤΣΙ,,"ΑΡΝΙ ΚΟΤΣΙ, ΑΡΝΙ ΚΟΤΣΙ",
ΒΑΦΛΑ,,ΕΝΔΙΑΜΕΣΑ,OIK512,,13,,"ΒΑΦΛΑ,ΒΑΦΛΑ,ΒΑΦΛΑ,ΒΑΦΛΑ","26,92","26,92","2,07",13,"3,50","3,50","30,42","2,34","2,34","7,02","9,36",ΒΑΦΛΑ,,,,,,"ΒΑΦΛΑ, ΒΑΦΛΑ, ΒΑΦΛΑ, ΒΑΦΛΑ",
ΒΑΦΛΑ ΝΟΥΤΕΛΑ,,ΠΡΩΙΝΟ,OIK512,,1,,"ΒΑΦΛΑ ΝΟΥΤΕΛΑ,ΒΑΦΛΑ ΝΟΥΤΕΛΑ","0,23","2,57","2,57",13,"0,03","0,33","2,90","0,26","2,90","8,70","11,60",,,,,,,,
ΒΟΤΑΝΟΤΥΡΑΚΙΑ,,ΤΥΡΙΑ,OIK104,,1,,ΒΟΤΑΝΟΤΥΡΑΚΙΑ,"0,00","0,00","0,00",13,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,ΒΟΤΑΝΟΤΥΡΑΚΙΑ,,ΒΟΤΑΝΟΤΥΡΑΚΙΑ,
ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,,ΕΠΙΔΟΡΠΙΑ,OIK104,"€7,0",20,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ","14,79","14,79","0,74",13,"1,92","1,92","16,71","0,84","0,84","2,51","3,34",,,,,ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ,,"ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ, ΓΑΛΑΚΤΟΜΠΟΥΡΕΚΟ 20 ΜΕΡΙΔΕΣ",
ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,ΠΡΩΙΝΟ,OIK512,,8,,"ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,ΓΑΛΑΤΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ","5,55","5,55","0,69",13,"0,72","0,72","6,27","0,78","0,78","2,35","3,14",,,,,,,,
ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,,ΟΡΕΚΤΙΚΑ,OIK104,,1,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ","2,38","2,38","2,38",13,"0,31","0,31","2,68","2,68","2,68","8,05","10,74",,,,,ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ, ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ, ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ",
ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,,ΠΑΣΤΕΣ - ΡΙΖΟΤΑ,OIK104,"€12,0",1,,"ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ","1,46","1,46","1,46",13,"0,19","0,19","1,65","1,65","1,65","4,95","6,60",,,,,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ,,"ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ",
ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ,,ΟΡΕΚΤΙΚΑ,OIK104,"€7,0",1,,"ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ,ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ","0,58","0,58","0,58",13,"0,07","0,07","0,65","0,65","0,65","1,96","2,61",,,,,ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ,,"ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ, ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΜΕΡΙΔΑ",
ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΣΠΙΤΙΚΟΣ,,ΟΡΕΚΤΙΚΑ,OIK512,,1,,"ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΣΠΙΤΙΚΟΣ,ΓΑΥΡΟΣ ΜΑΡΙΝΑΤΟΣ ΣΠΙΤΙΚΟΣ","0,58","0,58","0,58",13,"0,07","0,07","0,65","0,65","0,65","1,96","2,61",,,,,,,,
ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,ΕΛΛΗΝΙΚΑ ΠΑΡΑΔΟΣΙΑΚΑ,OIK104,"€9,0",10,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ","7,86","7,86","0,79",13,"1,02","1,02","8,88","0,89","0,89","2,66","3,55",,,,,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ",
ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,,ΠΡΩΙΝΟ,OIK512,,7,,"ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ,ΓΙΑΟΥΡΤΙ ΠΡΟΒΕΙΟ","3,95","3,95","0,56",13,"0,51","0,51","4,47","0,64","0,64","1,91","2,55",,,,,,,,
ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,,ΕΝΔΙΑΜΕΣΑ,"OIK104,OIK512",,1,,"ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ","12,64","12,64","12,64",13,"1,64","1,64","14,28","14,28","14,28","42,85","57,13","ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",,,,,,"""ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ"", ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",
ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,,ΕΠΙΔΟΡΠΙΑ,OIK104,"€7,0",20,,"ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ","14,84","14,84","0,74",13,"1,93","1,93","16,77","0,84","0,84","2,51","3,35",,,,,ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ,,"ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ, ΕΚΜΕΚ 20 ΜΕΡΙΔΕΣ",
ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ,,ΕΠΙΔΟΡΠΙΑ,OIK104,"€6,0",1,,"""ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ, ΣΤΡΑΓΓΙΣΤΟ ΕΛΛΗΝΙΚΟ ΓΙΑΟΥΡΤΙ""","0,67","0,67","0,67",13,"0,09","0,09","0,75","0,75","0,75","2,26","3,01",,,,,ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ,,ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ,
